trial,model,first_crossing_time,max_distinguishability
67,stochastic_noise,,0.06770945484102973
68,stochastic_noise,,0.06306863311522262
69,stochastic_noise,,0.04659509178105076
70,stochastic_noise,,0.04963890398553867
71,stochastic_noise,,0.048981493160666204
72,stochastic_noise,,0.062047886135709086
73,stochastic_noise,,0.05994997022453135
74,stochastic_noise,,0.06193152177797887
75,stochastic_noise,,0.0567280411473053
76,stochastic_noise,,0.06399765510861218
77,stochastic_noise,,0.05006232225886363
78,stochastic_noise,,0.07021993010594105
79,stochastic_noise,,0.05847850273853804
80,stochastic_noise,,0.0651303717637507
81,stochastic_noise,,0.07347030389547975
82,stochastic_noise,,0.04253784141121847
83,stochastic_noise,,0.04086221171836494
84,stochastic_noise,,0.06012922269819792
85,stochastic_noise,,0.05474886773988945
86,stochastic_noise,,0.056343474968509846
87,stochastic_noise,,0.05500632264964558
88,stochastic_noise,,0.054502905861391955
89,stochastic_noise,,0.06828697862374684
90,stochastic_noise,,0.05796043448553089
91,stochastic_noise,,0.07403173495492701
92,stochastic_noise,,0.043091944401606304
93,stochastic_noise,,0.05244518057014814
94,stochastic_noise,,0.055781195493528876
95,stochastic_noise,,0.07841185681588438
96,stochastic_noise,,0.05133138117642215
97,stochastic_noise,,0.05482773557718806
98,stochastic_noise,,0.07400757932963692
99,stochastic_noise,,0.05771641673953184
100,stochastic_noise,,0.06915849325698652
101,stochastic_noise,,0.04910620376713554
102,stochastic_noise,,0.04875655065604448
103,stochastic_noise,,0.05172092245062245
104,stochastic_noise,,0.061880003798186256
105,stochastic_noise,,0.05734627221408325
106,stochastic_noise,,0.05800231516970901
107,stochastic_noise,,0.054177124286404754
108,stochastic_noise,,0.06917969776986899
109,stochastic_noise,,0.0531792585074965
110,stochastic_noise,,0.053199360717343325
111,stochastic_noise,,0.05907760971128749
112,stochastic_noise,,0.045464124616753185
113,stochastic_noise,,0.059537345299508514
114,stochastic_noise,,0.05844023296081195
115,stochastic_noise,,0.04061130750900603
116,stochastic_noise,,0.052296196496401486
117,stochastic_noise,,0.0527192982627028
118,stochastic_noise,,0.08342483741537501
119,stochastic_noise,,0.049566428240267066
120,stochastic_noise,,0.047276814398196663
121,stochastic_noise,,0.06373521957879405
122,stochastic_noise,,0.0675642929451463
123,stochastic_noise,,0.055104630850403555
124,stochastic_noise,,0.06447500695128806
125,stochastic_noise,,0.056543666026568
126,stochastic_noise,,0.06052028648729587
127,stochastic_noise,,0.05628853616514651
128,stochastic_noise,,0.05019121054952787
129,stochastic_noise,,0.06974437515554793
130,stochastic_noise,,0.038455003381634156
131,stochastic_noise,,0.05313443400399604
132,stochastic_noise,,0.05064209861873611
133,stochastic_noise,,0.04934484030662605
134,stochastic_noise,,0.07369849985779303
135,stochastic_noise,,0.047636469720185266
136,stochastic_noise,,0.049160991372502
137,stochastic_noise,,0.07661533419950334
138,stochastic_noise,,0.06002440778253746
139,stochastic_noise,,0.09333237442463026
140,stochastic_noise,,0.04898239452983791
141,stochastic_noise,,0.04732204130381575
142,stochastic_noise,,0.0513869702303087
143,stochastic_noise,,0.06311895739121329
144,stochastic_noise,,0.05357544251990533
145,stochastic_noise,,0.05753170886501747
146,stochastic_noise,,0.045237482916395455
147,stochastic_noise,,0.056272658774122
148,stochastic_noise,,0.05607190961723252
149,stochastic_noise,,0.06952138238492657
150,stochastic_noise,,0.04480990721733497
151,stochastic_noise,,0.04302106006306351
152,stochastic_noise,,0.04605018849673604
153,stochastic_noise,,0.055538791290384755
154,stochastic_noise,,0.04357419092797766
155,stochastic_noise,,0.04729282979041188
156,stochastic_noise,,0.07013199055823884
157,stochastic_noise,,0.05689703800634961
158,stochastic_noise,,0.05203570200712105
159,stochastic_noise,,0.058457772328185546
160,stochastic_noise,,0.06354729029671677
161,stochastic_noise,,0.06105855314913486
162,stochastic_noise,,0.03987708338695649
163,stochastic_noise,,0.055423491891623634
164,stochastic_noise,,0.07045233515377045
165,stochastic_noise,,0.05814476027316314
166,stochastic_noise,,0.07302573850273644
167,stochastic_noise,,0.0429501736420061
168,stochastic_noise,,0.05982075778528472
169,stochastic_noise,,0.05377630310294881
170,stochastic_noise,,0.06287989942574569
171,stochastic_noise,,0.055810888430454876
172,stochastic_noise,,0.07056434321687859
173,stochastic_noise,,0.05323117566226419
174,stochastic_noise,,0.040383251117919246
175,stochastic_noise,,0.06863397478301528
176,stochastic_noise,,0.058436247311378385
177,stochastic_noise,,0.08051816022046868
178,stochastic_noise,,0.06390502999866304
179,stochastic_noise,,0.048594878044342614
180,stochastic_noise,,0.06247650666332345
181,stochastic_noise,,0.062070435249897055
182,stochastic_noise,,0.06695805883994495
183,stochastic_noise,,0.06014015742478586
184,stochastic_noise,,0.08216095695652838
185,stochastic_noise,,0.047242033820158784
186,stochastic_noise,,0.06953154742415993
187,stochastic_noise,,0.07521777455279659
188,stochastic_noise,,0.05061996337780925
189,stochastic_noise,,0.0494512156421631
190,stochastic_noise,,0.05476975933402233
191,stochastic_noise,,0.04858955246921945
192,stochastic_noise,,0.05498162099481054
193,stochastic_noise,,0.053725036492775
194,stochastic_noise,,0.07136681263105064
195,stochastic_noise,,0.053014409720414615
196,stochastic_noise,,0.0545832494815648
197,stochastic_noise,,0.05116296511412429
198,stochastic_noise,,0.06043926718516613
199,stochastic_noise,,0.07653725197106591
-1,linear_baseline,,0.02
-1,deterministic_nonlinear,6.0,0.9313861596457909
